Strory,Label
آمنہ مفتی کا کالم: لاہور، موسم سرما اور ابن انشا,pakistan
کورونا: کراچی کے پانچ اضلاع میں سمارٹ لاک ڈاؤن، کیلیفورنیا میں رات کا کرفیو نافذ,pakistan
جسٹس وقار احمد سیٹھ: ’جرات مند، نڈر اور آزاد جج‘,pakistan
تحریک لبیک کے نئے سربراہ سعد رضوی کے بارے میں ہم کیا جانتے ہیں؟,pakistan
خادم رضوی کی نمازِ جنازہ میں ہزاروں کی شرکت، بیٹا جانشین مقرر,pakistan
پبلک پرائیوٹ پارٹنرشپ ماڈل، پاکستان کے لیے سود مند یا نقصان دہ؟,pakistan
پنجاب کے ضلع ننکانہ میں فائرنگ: ایک احمدی ڈاکٹر ہلاک، تین زخمی,pakistan
’ایسا مجبور کیا گیا کہ احتجاج کے لیے سینکڑوں میل دور آنا پڑا‘,pakistan
انٹرنیٹ نگرانی کے قواعد: ’حکومت کو ناقدین کے گرد گھیرا تنگ کرنےمیں آسانی ہو گی‘,pakistan
خادم حسین رضوی: ’اختلاف کے باوجود کبھی ان کے مرنے کی خواہش نہیں کی‘,pakistan
‘تکنیکی خرابی بھی انسانی غلطی کی وجہ سے پیدا ہو سکتی ہے‘,pakistan
’اسامہ بن لادن کے مکان سے پشتو اور انڈین گانے ملے‘,pakistan
مشال کیس: مرکزی ملزم کی سزائے موت عمر قید میں تبدیل,pakistan
عمران خان افغانستان میں، دو طرفہ تعلقات میں بہتری کیسے ممکن ہو سکتی ہے؟,pakistan
تحریک لبیک کے سربراہ خادم حسین رضوی وفات پا گئے,pakistan
تحریک لبیک پاکستان کے بانی خادم حسین رضوی کون تھے؟,pakistan
حافظ سعید کو ’کالعدم تنظیم کے لیے فنڈ اکھٹے کرنے‘ پر مزید سزا,pakistan
پاکستانی نژاد امریکی شہری جس کی سخاوت نے سب کے دل موہ لیے,pakistan
’مجھے کہا گیا کہ آپ اللہ اللہ کریں، وکالت میں کیا کر رہی ہیں‘,pakistan
امریکہ میں کورونا کے باعث ڈھائی لاکھ اموات، پاکستان میں بھی دوسری لہر زور پکڑنے لگی,pakistan
بے گھر امریکیوں کا پاکستانی مسیحا خود مشکل میں,pakistan
’آج میں کئی ڈگری ہولڈرز سے زیادہ کماتا ہوں!‘,pakistan
کیا عمران خان اپنے پہلے دورے میں افغانستان کے ساتھ بداعتمادی کی فضا کم کر سکیں گے؟,pakistan
چائلڈ پورنوگرافی: عدالت کا سہیل ایاز کو پھانسی کی سزا دینے کا حکم,pakistan
’ہماری آنکھوں کے سامنے بھائی کو اٹھایا گیا‘,pakistan
برفباری کی وجہ سے سیاحتی مقام پر پھنسے افراد کی واپسی کا کامیاب سفر,pakistan
مذاکرات کی رات تحریک لبیک اور حکومت کے درمیان معاملات کیسے طے پائے؟,pakistan
تشدد کے ملزم حقوقِ نسواں کے ’علمبردار‘ کیسے بن جاتے ہیں؟,pakistan
’جب تک مجھ میں آخری سانس ہے میں اُن کا انتظار کروں گی‘,pakistan
’ملا عمر ایرانی پاکستان میں پولیس سے فائرنگ کے تبادلے میں ہلاک‘,pakistan
انڈین طیارے کی پاکستان میں ہنگامی لینڈنگ,pakistan
’بہن نے ریپ پر مزاحمت کی تو پیٹرول چھڑک کر آگ لگا دی‘,pakistan
کراچی کنگز نے لاہور قلندرز کو پانچ وکٹوں سے شکست دے کر فائنل جیت لیا,pakistan
تحریک لبیک سے معاہدہ: کسی غیر ملکی سفیر کو کن وجوہات پر بے دخل کیا جا سکتا ہے؟,pakistan
’سینیٹ انتخابات میں ووٹنگ کا طریقہ کار بدلنے کے لیے آئینی ترمیم لائیں گے‘,pakistan
بختاور بھٹو کے ہونے والے منگیتر محمود چوہدری کون ہیں؟,pakistan
گلگت بلتستان انتخابات: کیا تحریک انصاف کو وہ کامیابی نہیں مل پائی جس کی توقع تھی؟,pakistan
’رمیز بھائی کی بہت عزت۔۔۔ مگر کسی کے کہنے پر کرکٹ نہیں چھوڑوں گا‘,pakistan
’یہ فلم ہم کئی بار دیکھ چکے ہیں، آگے بھی دیکھتے رہیں گے‘,pakistan
’مسئلہ میری بیوی میں نہیں مجھ میں ہے اور اب میں اپنا علاج کروا رہا ہوں‘,pakistan
سجاد باجوہ: ’وزیراعظم سمیت طاقتور عناصر شوگر مافیا کو بچانا، فائدہ دینا چاہتے تھے‘,pakistan
فیض آباد دھرنا ختم: حکومتی ’معاہدے‘ کے بعد ٹریفک اور موبائل سروس بحال,pakistan
’اگر میں بیٹیوں کا باپ نہ ہوتا تو شاید اتنا پراگریسیو نہ ہوتا‘,pakistan
یہ دھرنا بھی کیا دھرنا تھا؟,pakistan
مریم کا گلگت بلتستان انتخابات میں دھاندلی کا الزام، بلاول کی ’اسلام آباد جانے‘ کی دھمکی,pakistan
’دھندہ دشمن‘ حکومت,pakistan
تحریک لبیک کے کارکن فیض آباد تک پہنچنے میں کیسے کامیاب ہوئے؟,pakistan
عمران خان: ہم نے جلسے جلوسوں پر پابندی لگا دی ہے امید ہے باقی بھی یہی کریں گے,pakistan
’مجھے لگا کہ اتنی برفباری اور اندھیری رات میں شاید ہم بچ نہ پائیں‘,pakistan
’خاتون کو قتل کرنے کا حکم دینے والے جرگہ کے تین رکن گرفتار‘,pakistan
کراچی سے تعلق رکھنے والے القاعدہ برصغیر کے نائب سربراہ محمد حنیف کون تھے؟,pakistan
’مشکل وقت میں اگر ڈپلومہ نہ ہوتا تو مجھے نوکری نہ ملتی‘,pakistan
’لالہ آئی ایم سوری‘,pakistan
وسعت اللہ خان کا کالم: ’اب تو پیوند لگانے کی بھی گنجائش نہیں رہی‘,pakistan
آمنہ مفتی کا کالم: انکل نے یہاں بدتمیزی کی ہے!,pakistan
کیا محمد علی جناح نے اپنی اکلوتی بیٹی کو عاق کردیا تھا؟,pakistan
بلوچستان کی باہمت خاتون نے 350 کلومیٹر پیدل مارچ کیوں کیا؟,pakistan
انڈیا پاکستان میں دہشتگردی کروا رہا ہے، ہمارے پاس ناقابلِ تردید شواہد ہیں: پاکستان,pakistan
پاکستان میں نئی کمپنیوں کی رجسٹریشن میں اضافے کی وجوہات کیا ہیں؟,pakistan
’نئے مکان میں تین روز ہی گزرے تھے، فائرنگ میں سب کچھ تباہ ہو گیا‘,pakistan
’رانا صاحب پہنچ تو گئے ہیں، اتنی ہی جلدی واپس نہ جانا پڑے‘,pakistan
پاکستان میں مسلسل دوسرے روز دو ہزار سے زیادہ نئے مریض,pakistan
بی اماں، محمد علی کی ۔۔۔,pakistan
جسٹس وقار احمد سیٹھ ’جن کا دل بہت بڑا اور بے خوف رہتا تھا`,pakistan
انڈیا اور پاکستان کا ایک دوسرے پر لائن آف کنٹرول پر سیز فائر کی خلاف ورزی کا الزام,pakistan
کشمور میں ماں اور کمسن بیٹی کے ریپ کا ملزم ’فائرنگ کے تبادلے میں ہلاک‘,pakistan
عاصم باجوہ آج بھی بہت کارآمد ثابت ہو رہے ہیں: اسد عمر,pakistan
’پہلے کہتے ہیں یہ تو بس روتی رہتی ہیں، جب رلاتی ہوں تو برداشت نہیں ہوتا‘,pakistan
پرچم اتارنے کے جرم میں گرفتار برطانوی شہری کی حراست پر بورس جانسن کے تحفظات,pakistan
حسن ناصر: قلعہ لاہور کا کمیونسٹ قیدی جس کی لاش کبھی نہ ملی,pakistan
وائرل ویڈیو میں چار سالہ بچی کو ’سنا تو میں کانپنے اور رونے لگی ‘,pakistan
انتہائی مطلوب افراد کی فہرست میں شامل الطاف حسین کو گرفتار کرنے کی ہدایت,pakistan
تھر کی ’پبلک پراپرٹی‘ سوجیو بیل کی مبینہ چوری اور پرتپاک استقبال,pakistan
